Date,Name,Value
2022-11-24 22:34:55,WZMHH,
2022-05-30 14:44:47,DIXFU,
2022-10-22 08:38:49,OHCUI,0.6370445113549524
2022-12-12 17:40:29,GEVAZ,0.5292072971005523
2022-06-13 08:00:40,GBRDD,0.376431751315491
2022-01-16 17:20:30,BCSVR,0.008427608141492793
2022-04-11 13:16:44,VNNGF,0.9619565585865117
2022-07-18 13:25:32,RVKHM,0.901262330417864
2022-07-08 17:10:27,QSZJI,0.44129738363616366
2022-06-07 06:15:34,CPIEA,0.3715965769686672
2022-12-23 14:33:51,HSJEL,0.9523409342086877
2022-11-01 09:31:56,BUWFV,0.09105648808381206
2022-11-19 06:47:22,QYPBD,0.18545820412424963
2022-04-28 19:04:46,EVDCV,0.10861526636012075
2022-07-05 02:12:20,DPFZS,0.11215874223546374
2022-05-20 01:15:43,MSBRO,0.6055458611860893
2022-08-15 13:30:52,QVBBH,0.15387883630139487
2022-12-13 06:52:46,LBMPS,0.7025980908137885
2022-12-19 16:13:32,KGXMX,0.928268212070889
2022-03-26 20:02:01,OSFTU,0.18538068806857422
2022-07-16 00:01:20,EENDX,0.42170431041506296
2022-02-24 02:07:30,RARXW,0.1747372019883816
2022-04-20 10:55:08,XQKRD,0.9595322940755414
2022-02-24 06:31:30,RLCTO,0.3403879026852894
2022-10-21 12:36:20,DTMPR,0.5233486454380116
2022-02-06 19:53:12,PXWDI,0.35536744790103547
2022-08-29 03:37:00,TVCPS,0.6315169232882821
2022-11-07 10:58:19,EFLSR,0.08649939658707362
2022-04-08 06:53:17,WAWOU,0.7550350740823142
2022-12-20 07:26:58,SEBSL,0.2947283238309857
2022-07-26 19:51:10,XXPAB,0.8301737658604361
2022-10-01 20:40:54,IVBVZ,0.4490883769000732
2022-11-11 15:46:19,KOZZV,0.4620108455998946
2022-08-22 18:08:02,DAYKA,0.2187341846418389
2022-12-17 08:47:46,ATZRP,0.11445722556586746
2022-02-27 01:46:46,EPFHR,0.9788025142917065
2022-05-01 10:47:05,EMXQA,0.3011589686960586
2022-02-08 08:32:27,XUDGQ,0.6091605287508749
2022-10-11 10:31:29,VQCEW,0.4242090709976407
2022-01-29 15:19:45,BFGIJ,0.7513524999576429
2022-12-16 01:46:48,OWWYP,0.09255304692818778
2022-11-27 06:59:26,MQLLW,0.4976795968420046
2022-09-23 15:11:32,EJHDH,0.9609180855182016
2022-05-09 05:39:40,IJCUA,0.5437408220916614
2022-07-03 08:41:20,HDPJZ,0.405305104554358
2022-08-06 09:50:30,DCSYI,0.6320656015278037
2022-02-09 02:36:11,WSHVH,0.0216193804206819
2022-05-18 09:34:27,COMIU,0.2700784048715086
2022-06-18 14:46:29,VDDMA,0.6684886667173141
2022-05-03 19:10:00,IREEO,0.0002532098932251925
2022-08-26 05:52:45,UZCVF,0.3984286079265319
2022-09-06 17:10:43,FKCOH,0.8905618085087551
2022-12-21 13:52:47,XUSFC,0.7099647178965433
2022-03-21 09:52:14,FZPEE,0.4445845492335537
2022-08-03 13:53:38,CVWAN,0.7465509493098265
2022-07-05 06:03:12,TFMGQ,0.35382203223851694
2022-06-21 22:12:04,ZUQCL,0.8712980207444939
2022-12-03 01:16:23,JVCPM,0.6725473918674463
2022-07-22 11:22:05,OQLNR,0.19603088941730495
2022-04-12 03:57:51,XVZQW,0.08525923665948931
2022-01-25 04:29:16,OYAST,0.0704556688087915
2022-11-09 15:24:11,IINWP,0.26248678792717994
2022-12-23 16:42:47,EJHSM,0.533638651221174
2022-08-02 02:14:53,UNXBD,0.11818482376773232
2022-12-22 17:41:14,HTLWU,0.8594532404023933
2022-01-06 10:52:41,WLJJN,0.8906989166138923
2022-02-06 05:21:24,ACUNP,0.7620005545284954
2022-10-07 12:08:01,BLTHX,0.06809296768032302
2022-11-23 06:13:03,KZVZP,0.8609410769469436
2022-06-04 21:18:17,GWAXT,0.2827478909480132
2022-10-03 20:02:30,HOIMG,0.13442052583382869
2022-11-17 08:06:44,VUJJE,0.5230599837537087
2022-11-01 21:10:31,YGSIY,0.21027834364306774
2022-09-17 11:38:21,MDXPC,0.10530639745894443
2022-08-31 19:53:59,SVJAM,0.9556548717215211
2022-01-01 10:39:06,LCUAP,0.5435731515542631
2022-08-26 15:17:39,DISQF,0.7414270622920264
2022-07-11 16:28:44,UUCBS,0.9040457292510377
2022-11-18 14:06:32,PYQZS,0.2786145977098805
2022-12-03 22:38:38,HWYKH,0.4423646135017597
2022-05-10 09:02:40,TYZDW,0.5682329433322765
2022-04-05 17:24:50,ZAKJE,0.13781274972163116
2022-10-11 14:41:22,JQYXB,0.1232982180791492
2022-05-07 07:07:27,GANOW,0.12051785276403837
2022-10-01 06:25:25,FUXQN,0.4012165411640888
2022-12-05 01:22:47,NNYDX,0.4679428423906348
2022-01-25 11:03:21,KCCBK,0.5596131508667647
2022-03-16 04:52:27,EYULK,0.29896126951320356
2022-12-23 03:14:10,MWIGJ,0.6321114709426877
2022-08-09 09:35:00,DRIEV,0.7423454703026071
2022-03-28 02:25:48,FJPDA,0.21800995973285464
2022-04-03 16:03:41,RTXTH,0.48885816108208613
2022-11-08 23:43:06,RYGDL,0.501567157493831
2022-02-25 08:08:38,MSGAF,0.49271975198428686
2022-11-08 22:10:30,IYHWO,0.958422556968198
2022-07-30 21:01:59,IPCNI,0.44398175403613704
2022-06-23 23:22:44,JDDFN,0.14281143058247625
2022-02-05 10:11:39,GEJRW,0.4955231327742775
2022-02-01 05:48:33,PKSDH,0.8873352305676206
2022-05-05 07:07:30,KYPHJ,0.21571394075115613
